Lateinisches Wort,Formen,Übersetzung,Zahl
nos,-,wir,13
nonnulli,"-ae, -a","einige, manche",11
nonne?,-,"etwa nicht?, denn nicht?",19
nondum,-,noch nicht,18
non,-,nicht,1
nomen,nominis n,der Name,25
nomen,nominis n,der Name,1
nolle,"nolo, nolui, -",nicht wollen,17
nocere,-,schaden,25
nobilis,nobile,"vornehm, adelig, berühmt",33
nobilis,nobile,"vornehm, adelig, berühmt",32
nobilis,nobile,"vornehm, adelig, berühmt",31
nisi,-,"wenn nicht, außer",20
nimis,-,"zu, allzu",16
nihil,-,nichts,10
nex,necis f,"der Mord, der Tod",35
neve … neve …,-,weder … noch ,42
neve … neve …,-,weder … noch,41
neve … neve …,-,weder … noch,40
nescire,-,"nicht wissen, nicht kennen",2
neque … neque …/nec … nec …,-,weder … noch …,18
neque/nec,-,"und nicht, auch nicht, aber nicht",18
nepos,nepotis m,"der Neffe, der Enkel",39
nepos,nepotis m,"der Neffe, der Enkel",38
nepos,nepotis m,"der Neffe, der Enkel",37
nemo nostrum,-,niemand von uns,42
nemo nostrum,-,niemand von uns,41
nemo nostrum,-,niemand von uns,40
nemo,"gen. nullus, Dat. nemini, Akk. neminem, Abl. nullo",niemand,40
negotia gerere,-,seinen Geschäften nachgehen,18
negotium,-i n,"die Aufgabe, das Geschäft",16
neglegere,"neglego, neglexi, neglectum","vernachlässigen, gering schätzen",30
neglegere,"neglego, neglexi, neglectum","vernachlässigen, gering schätzen",29
neglegere,"neglego, neglexi, neclectum","vernachlässigen, gering schätzen",28
neglegere,"neglego, neglexi, neglectum","vernachlässigen, gering schätzen",27
neglegentia,-ae f,die Nachlässigkeit,40
negare,-,"leugnen, verweigern, (m.AcI) sagen, dass nicht",15
necesse est,-,"es ist nötig, es ist notwendig",15
necessarius,-i m,"der Nahestehende, der Freund",31
necessarius,"-a, -um","nötig, notwendig",21
necare,-,töten,11
ne … quidem,-,nicht einmal,11
ne,(m.Konj.),"dass nicht, damit nicht, um nicht … zu",25
-ne?,-,unübersetzte Fragepartikel,19
navis,navis f,das Schiff,26
natura,-ae f,die Natur,35
natio,nationis f,"das Volk, der Volksstamm",32
nasci,"nascor, natus sum","geboren werden, entstehen",38
narrare,-,"erzählen, berichten",1
nam,-,"denn, nämlich",1
mutare,-,"ändern, wechseln, verwandeln",25
munus,muneris n,"die Aufgabe, das Amt, das Geschenk",38
munitio,munitionis f,das Belagerungswerk,33
multitudo,multitudinis f,"die Vielzahl, die Menge",19
multum,-,"viel, sehr",8
multa,-orum n(Pl.),vieles,13
multi,"-ae, -a",viele,8
mulier,mulieris f,die (erwachsene) Frau,17
muliebris,muliebre,"weiblich, unmännlich",30
mox,-,"bald, dann",4
movere,"moveo, movi, motum","bewegen, erregen",24
movere,"moveo, movi, motum","bewegen, erregen",22
